V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-7.000e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.990e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.980e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.970e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.960e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.950e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.940e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.930e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.920e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.910e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.900e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.890e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.880e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.870e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.860e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.850e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.840e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.830e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.820e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.810e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.800e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.790e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.780e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.770e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.760e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.750e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.740e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.730e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.720e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.710e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.700e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.690e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.680e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.670e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.660e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.650e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.640e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.630e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.620e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.610e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.600e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.590e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.580e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.570e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.560e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.550e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.540e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.530e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.520e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.510e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.500e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.490e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.480e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.470e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.460e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.450e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.440e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.430e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.420e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.410e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.400e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.390e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.380e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.370e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.360e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.350e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.340e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.330e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.320e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.310e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.300e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.290e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.280e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.270e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.260e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.250e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.240e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.230e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.220e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.210e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
-6.200e+000	4.8034e-017	-9.3467e+000	-6.3487e+000	6.3476e+000	5.2500e-015
